Total_date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2020-05-08,,,,,202277.0,,
2020-05-09,,,,,,141747.0,
2020-05-10,,,,,,,155927.0
2020-05-11,173860.0,,,,,,
2020-05-12,,188782.0,,,,,
2020-05-13,,,189478.0,,,,
2020-05-14,,,,204745.0,,,
2020-05-15,,,,,220671.0,,
2020-05-16,,,,,,243777.0,
2020-05-17,,,,,,,209891.0
2020-05-18,212654.0,,,,,,
2020-05-19,,206803.0,,,,,
2020-05-20,,,212677.0,,,,
2020-05-21,,,,180951.0,,,
2020-05-22,,,,,237926.0,,
2020-05-23,,,,,,191495.0,
2020-05-24,,,,,,,220919.0
2020-05-25,235486.0,,,,,,
